Wall time,Step,Value
1748099581.132502,18,39.62019348144531
1748099630.0089786,42,55.80288314819336
1748099635.9655104,45,62.37980651855469
1748099657.3152106,56,64.51441955566406
1748099688.0376384,71,68.84615325927734
1748099693.970428,74,67.87019348144531
1748099733.5697536,94,73.59134674072266
1748099856.360336,155,76.30769348144531
1748099862.2542183,158,73.89423370361328
1748099880.0342526,167,78.89904022216797
1748100004.7727067,229,81.98076629638672
1748100014.634817,234,81.00480651855469
1748100057.1548448,255,83.58654022216797
1748100067.0527081,260,78.95191955566406
1748100080.8812773,267,76.71154022216797
1748100092.824865,273,77.22595977783203
1748100170.2574751,308,78.23558044433594
1748100174.9754863,310,80.53845977783203
1748100195.2161844,318,80.41345977783203
1748100264.322992,347,84.79326629638672
1748100312.9751408,367,80.06730651855469
1748100424.8990953,421,76.75
1748100426.9167614,422,79.46634674072266
1748100466.4962692,442,79.74038696289062
1748100503.142223,460,84.11058044433594
1748100509.0698483,463,82.5625
1748100511.0457444,464,84.8125
1748100530.7792416,474,83.6875
1748100655.5066903,536,78.99038696289062
1748100710.1944559,563,85.07211303710938
1748100742.1078095,579,79.74519348144531
1748100755.9427269,586,82.57211303710938
1748100757.9177203,587,84.84615325927734
1748100824.3955653,620,77.06730651855469
1748100853.32343,634,79.17788696289062
1748100869.4027338,642,80.36538696289062
1748100879.3339722,647,81.79326629638672
1748100883.2989106,649,75.87980651855469
1748100907.2306404,661,82.20673370361328
1748100928.2808392,671,82.42308044433594
1748101015.2038813,714,84.16826629638672
1748101031.193473,722,81.08173370361328
1748101047.150393,730,81.00480651855469
1748101099.8408139,756,80.77404022216797
1748101117.709646,765,79.42308044433594
1748101125.6758637,769,81.28402709960938
1748101130.7554903,771,82.37019348144531
1748101158.6891463,785,80.78845977783203
1748101162.6932514,787,81.46634674072266
1748101172.5788853,792,83.48558044433594
1748101176.5514128,794,84.65865325927734
1748101192.470235,802,82.76923370361328
1748101205.450885,808,86.10095977783203
1748101207.41397,809,85.15384674072266
1748101261.1786146,836,80.5625
1748101404.5087173,907,82.8125
1748101408.483512,909,83.35502624511719
1748101474.5883665,942,87.38461303710938
1748101481.5596652,945,81.98558044433594
1748101515.1173291,962,81.4375
1748101532.8362877,971,82.72115325927734
1748101534.816253,972,81.9375
1748101546.634757,978,82.98076629638672
1748101548.6042657,979,84.69230651855469
1748101559.4690125,984,81.07211303710938
1748101594.9922965,1002,87.58654022216797
1748101600.8700383,1005,83.93269348144531
1748101618.6032524,1014,81.18343353271484
1748101717.4500103,1063,82.49038696289062
1748101723.3954875,1066,83.30769348144531
1748101735.2143543,1072,85.46154022216797
1748101747.0425348,1078,83.35576629638672
1748101756.8693197,1083,81.70673370361328
1748101777.6162744,1093,84.96154022216797
1748101789.4488833,1099,87.9375
1748101799.360609,1104,84.74519348144531
1748101903.9688318,1156,84.63941955566406
1748101913.8293717,1161,82.62019348144531
1748101915.797263,1162,84.38941955566406
1748101951.35099,1180,82.10095977783203
1748101977.9664323,1193,78.92788696289062
1748102003.6632621,1206,82.13941955566406
1748102079.692754,1244,81.62019348144531
1748102114.265208,1261,80.75
1748102153.770517,1281,83.90384674072266
1748102179.4300575,1294,85.86390686035156
1748102223.8101368,1316,82.20673370361328
1748102229.7292645,1319,84.00480651855469
1748102252.510409,1330,82.125
1748102258.406771,1333,84.29808044433594
1748102266.2836304,1337,84.26923370361328
1748102362.0030313,1385,85.87980651855469
1748102373.8633997,1391,83.26441955566406
1748102375.8554597,1392,81.93269348144531
1748102420.2708986,1414,86.16826629638672
1748102443.9375439,1426,81.0625
1748102464.672049,1436,80.9375
1748102523.8141701,1466,83.95191955566406
1748102546.5825796,1477,79.91345977783203
1748102562.3664708,1485,86.76923370361328
1748102574.2259514,1491,82.24038696289062
1748102638.3196325,1523,85.23076629638672
1748102646.1604302,1527,85.34134674072266
1748102696.5221062,1552,82.90384674072266
1748102728.074261,1568,86.5
1748102730.0552368,1569,85.05288696289062
1748102760.702817,1584,86.73558044433594
1748102768.5906816,1588,85.36538696289062
1748102802.2092934,1605,83.19711303710938
1748102872.2532501,1640,84.24038696289062
1748102889.03301,1648,85.02884674072266
1748102928.498534,1668,87.14423370361328
1748102957.2271562,1682,83.89423370361328
1748102974.9682238,1691,84.80288696289062
1748102986.7325962,1697,87.88461303710938
1748102996.5492916,1702,82.54808044433594
1748103010.3350751,1709,87.20191955566406
1748103029.1707404,1718,85.59134674072266
1748103056.7370427,1732,83.64904022216797
1748103060.6822436,1734,85.01923370361328
1748103066.5852666,1737,81.53845977783203
1748103084.3728912,1746,83.41345977783203
1748103142.5712643,1775,85.41826629638672
1748103154.3928132,1781,85.23076629638672
1748103202.825552,1805,83.02884674072266
1748103245.2403438,1826,85.40865325927734
1748103280.7359843,1844,85.44711303710938
1748103298.5140564,1853,86.62019348144531
1748103325.265954,1866,89.80288696289062
1748103331.142599,1869,84.41345977783203
1748103346.9634578,1877,84.68269348144531
1748103426.938905,1917,82.36538696289062
1748103461.6012735,1934,85.96154022216797
1748103481.2827075,1944,88.00961303710938
1748103487.1737547,1947,84.76441955566406
1748103527.7051723,1967,87.29326629638672
1748103559.2982533,1983,84.48076629638672
1748103595.8283134,2001,85.52884674072266
1748103619.5039175,2013,82.78365325927734
1748103654.0702112,2030,83.94230651855469
